Image;Cat;Cat_Name;Modified_Img;Modified_Grade;Guesses_Total;Guesses_Correct;Difficulty_Img;Guesses_Cat_D;Guesses_Cat_S;Guesses_Cat_B;Guesses_Experts;Accuracy_Experts;Classification_Expert;Expert_Correct;Classification_AI;Confidence_AI;AI_Correct;Dataset;URL;Artist;License
101;1;D;0;;68;0,661764706;0,338235294;45;23;0;26;0,769230769;;;1;1;1;Recommender Test Set;https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Maine_Coon_male_NO_Sigdalskauen_Balder.jpg/640px-Maine_Coon_male_NO_Sigdalskauen_Balder.jpg;//commons.wikimedia.org/wiki/User:Tbjornstad;CC BY-SA 4.0
103;1;D;0;;59;0,169491525;0,830508475;10;48;1;16;0,3125;2;0;1;0,9922;1;Experimental Study Set;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Bengal_cat_%28cropped%29.jpg/640px-Bengal_cat_%28cropped%29.jpg;https://www.flickr.com/people/37287295@N00;CC BY 2.0
104;1;D;0;;69;0,217391304;0,782608696;15;53;1;24;0,375;;;3;0,9996;0;Recommender Test Set;https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Bengal_Cat_catcrest2_%28cropped%29.JPG/640px-Bengal_Cat_catcrest2_%28cropped%29.JPG;"//commons.wikimedia.org/w/index.php?title=User:Yuyumin&amp;action=edit&amp;redlink=1";CC BY-SA 3.0
105;1;D;0;;75;0,853333333;0,146666667;64;11;0;39;0,923076923;1;1;1;1;1;Experimental Study Set;https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Borre_av_Froskeland_%284170377720%29.jpg/640px-Borre_av_Froskeland_%284170377720%29.jpg;https://www.flickr.com/people/14565253@N03;CC BY 2.0
106;1;D;0;;74;0,77027027;0,22972973;57;17;0;36;0,888888889;;;1;1;1;Recommender Test Set;https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Truman_-_Flickr_-_John_Morton.jpg/640px-Truman_-_Flickr_-_John_Morton.jpg;https://www.flickr.com/people/51035730365@N01;CC BY-SA 2.0
107;1;D;0;;61;0,508196721;0,491803279;31;30;0;24;0,75;1;1;3;0,9997;0;Experimental Study Set;https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/A_Bengal_Cat_%28cropped%29.jpg/640px-A_Bengal_Cat_%28cropped%29.jpg;"//commons.wikimedia.org/w/index.php?title=User:Wesam_Saka&amp;action=edit&amp;redlink=1";CC BY-SA 4.0
109;1;D;0;;63;0,507936508;0,492063492;32;31;0;32;0,625;;;2;1;0;Recommender Test Set;https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Chausie_IMG_5419.jpg/640px-Chausie_IMG_5419.jpg;"//commons.wikimedia.org/w/index.php?title=User:Wilczakrew&amp;action=edit&amp;redlink=1";CC BY-SA 3.0
110;1;D;0;;72;0,194444444;0,805555556;14;54;4;31;0,35483871;;;2;0,9991;0;Recommender Test Set;https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Chausie_13.jpg/640px-Chausie_13.jpg;"//commons.wikimedia.org/w/index.php?title=User:Wilczakrew&amp;action=edit&amp;redlink=1";CC BY-SA 3.0
111;1;D;0;;80;0,375;0,625;30;49;1;34;0,382352941;;;2;1;0;Recommender Test Set;https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Chausie_15.jpg/640px-Chausie_15.jpg;"//commons.wikimedia.org/w/index.php?title=User:Wilczakrew&amp;action=edit&amp;redlink=1";CC BY-SA 3.0
113;1;D;0;;67;0,895522388;0,104477612;60;6;1;36;0,972222222;;;1;1;1;Recommender Test Set;https://cdn.pixabay.com/photo/2014/02/11/20/49/main-coon-264321_960_720.jpg;https://pixabay.com/users/erikaelmefors-157001/;Pixabay Content Licencse
